,Filename,precision,recall,f_measure,cosine_sim,binary_crossentropy,euclidean_distance,binary_accuracy,soft_accuracy,accum_energy,roc_auc_measure,average_precision_score,Precision,Recall,Accuracy,Substitution Error,Miss Error,False Alarm Error,Total Error,Chroma Precision,Chroma Recall,Chroma Accuracy,Chroma Substitution Error,Chroma Miss Error,Chroma False Alarm Error,Chroma Total Error,FILEWISE MEAN,FRAMEWISE MEAN
0,Schubert_D911-17_HU33.npy,0.3299175011674363,0.46415796773487117,0.3856908892393546,0.5531028342605693,0.5659798809232807,1.70849589412773,0.9339393109206424,0.9052942417189955,0.4549560102143523,0.9083408174943939,0.3240930512904223,0.3299175011674363,0.46415796773487117,0.23892009694328067,0.26983721439521136,0.26600481786991753,0.6728958318125411,1.2087378640776698,0.4024023244954081,0.5661362143222133,0.3075565601887653,0.16785896780786919,0.26600481786991753,0.6728958318125411,1.1067596174903278,,
1,Schubert_D911-23_SC06.npy,0.38996316758747696,0.45365278868813824,0.41940382266530224,0.5363753550548933,0.5082411358633552,1.765651007588963,0.9364108348879923,0.9094911672065991,0.41463839187676393,0.9107201989994089,0.37085306272609914,0.38996316758747696,0.45365278868813824,0.2653453353104572,0.3625651646075841,0.18378204670427767,0.34710419195886594,0.8934514032707277,0.5803560466543892,0.6751410412054559,0.45366860214021787,0.14107691209026638,0.18378204670427767,0.34710419195886594,0.67196315075341,,
2,Schubert_D911-20_HU33.npy,0.45215136905303377,0.5234446989442645,0.48519309377097186,0.6198863620699566,0.4184187477441857,1.602615465594218,0.943951591476699,0.9141760781574924,0.4980489314231726,0.9281879716196518,0.45373324806537263,0.45215136905303377,0.5234446989442645,0.3203002915921576,0.2473474975647,0.22920780349103545,0.38688360582365794,0.8634389068793934,0.5444373692349677,0.6302819682489534,0.4126519003705938,0.14051022826001106,0.22920780349103545,0.38688360582365794,0.7566016375747044,,
3,Schubert_D911-23_HU33.npy,0.3658555979643766,0.47077080491132334,0.4117348765063835,0.5561504344194899,0.576546726822559,1.7795517406701673,0.9327598434324836,0.9043402600566675,0.4130483535759045,0.9178973241542179,0.34538431394904867,0.3658555979643766,0.47077080491132334,0.25923560897736875,0.29870395634379265,0.23052523874488404,0.5172919508867667,1.0465211459754433,0.47238125530110264,0.6078444747612551,0.3620444480559054,0.16163028649386085,0.23052523874488404,0.5172919508867667,0.9094474761255116,,
4,Schubert_D911-21_HU33.npy,0.5285047183578169,0.5003799479586433,0.5140579350153176,0.6574328973396877,0.3839958127611878,1.676906124646114,0.9401073557025064,0.9112386852456065,0.44888162163322226,0.9341046477598607,0.5182397957571165,0.5285047183578169,0.5003799479586433,0.34594749494531385,0.1779307803900799,0.32168927165127686,0.26847353029221455,0.7680935823335713,0.5832765833252261,0.5522370875261934,0.39599742408480704,0.12607364082252975,0.32168927165127686,0.26847353029221455,0.7162364427660212,,
5,Schubert_D911-17_SC06.npy,0.33366653926439893,0.43891402714932126,0.37912142976448976,0.5210540876585413,0.591075341809993,1.7280674117385526,0.9370853305169659,0.9047559684418006,0.4106762066526389,0.8949619731048652,0.30400615386125096,0.33366653926439893,0.43891402714932126,0.23389872426372085,0.3117531036083072,0.2493328692423715,0.5647600262984879,1.1258459991491665,0.42163290506571016,0.5546273736318985,0.3149860528454392,0.19603975712572996,0.2493328692423715,0.5647600262984879,1.0101326526665892,,
6,Schubert_D911-22_SC06.npy,0.566043292593138,0.5297684674751929,0.5473054744785364,0.6576180105747138,0.35513246911343005,1.6225721917471922,0.9450578883704855,0.9083161399697692,0.5115475640232313,0.9400103015790804,0.5591294790645023,0.566043292593138,0.5297684674751929,0.3767519357051847,0.19087651598676958,0.27935501653803746,0.21527012127894157,0.6855016538037486,0.6501987925195111,0.6085308710033076,0.45844364844520585,0.11211411245865491,0.27935501653803746,0.21527012127894157,0.6067392502756339,,
7,Schubert_D911-24_HU33.npy,0.3994822296087957,0.42941560449376437,0.41390843612881856,0.5470826647775511,0.5254884719815769,1.7086024701146885,0.93931304777188,0.9128236720094361,0.42872427652118655,0.9204550747486637,0.36758458633356494,0.3994822296087957,0.42941560449376437,0.2609612493736429,0.26519393960215754,0.30539045590407804,0.38032088501047856,0.9509052805167142,0.5024290462797238,0.5400762703129831,0.3518746502518187,0.15453327378293882,0.30539045590407804,0.38032088501047856,0.8402446146974955,,
8,Schubert_D911-24_SC06.npy,0.48276999780042523,0.40683987766072477,0.4415645380320888,0.5159421879768535,0.4739035023740583,1.696369277596568,0.9483100558659218,0.9167847387639925,0.3900845210633968,0.8840747793916961,0.3842425781048915,0.48276999780042523,0.40683987766072477,0.28333835362967424,0.2922549352775804,0.30090518706169483,0.14362507337267139,0.7367851957119466,0.6914363223110199,0.5826871389292224,0.46243809150198595,0.11640767400908276,0.30090518706169483,0.14362507337267139,0.560937934443449,,
9,Schubert_D911-21_SC06.npy,0.6005403868031854,0.442569691888493,0.5095933389646434,0.6419755752344889,0.3576679833637113,1.6593672788031646,0.9453481366726912,0.9175353704271834,0.4307091090385377,0.9376796857900477,0.5463458370001121,0.6005403868031854,0.442569691888493,0.34191563436159017,0.17868371410605743,0.3787465940054496,0.11569901488157619,0.6731293229930833,0.6678327645051194,0.49216097254244395,0.3953762481267575,0.12909243345210647,0.3787465940054496,0.11569901488157619,0.6235380423391322,,
