,Filename,precision,recall,f_measure,cosine_sim,binary_crossentropy,euclidean_distance,binary_accuracy,soft_accuracy,accum_energy,roc_auc_measure,average_precision_score,Precision,Recall,Accuracy,Substitution Error,Miss Error,False Alarm Error,Total Error,Chroma Precision,Chroma Recall,Chroma Accuracy,Chroma Substitution Error,Chroma Miss Error,Chroma False Alarm Error,Chroma Total Error
0,Schubert_D911-17_HU33.npy,0.5131932088899611,0.6211402292138112,0.5620304166185043,0.6208296571090366,0.1657669067633388,1.5074767662178834,0.9567482681695433,0.934218127710503,0.5901231993668203,0.9599660502531014,0.5265329306488183,0.5131932088899611,0.6211402292138112,0.39085000344502885,0.22428644426600483,0.15457332652018396,0.3649171472370246,0.7437769180232133,0.5509484032447755,0.6668369954011242,0.43202724112653407,0.1785896780786919,0.15457332652018396,0.3649171472370246,0.6980801518359004
1,Schubert_D911-23_SC06.npy,0.6165530158915976,0.7522316646432907,0.6776678729392843,0.706921681011757,0.15687818779942309,1.4342142281375985,0.9637710240502119,0.9419086045996037,0.6759346805525248,0.9688845201485318,0.7351846991590113,0.6165530158915976,0.7522316646432907,0.5124793227595602,0.17196315075340998,0.0758051846032993,0.29586517174891097,0.5436335071056202,0.66522286282888,0.8116117974719703,0.5762454049942959,0.11258301792473041,0.0758051846032993,0.29586517174891097,0.48425337427694065
2,Schubert_D911-20_HU33.npy,0.6575586181258132,0.651949556380486,0.6547420745088707,0.7098087711652439,0.1488614325021163,1.3627776265141662,0.9653063393379032,0.9426174566115931,0.6360124479547772,0.9671788909556993,0.6785802191980231,0.6575586181258132,0.651949556380486,0.48670374810825684,0.1924018639917858,0.15564857962772818,0.14711844772661453,0.4951688913461285,0.7048248758596882,0.6988126267014191,0.540601641581295,0.14553879367085276,0.15564857962772818,0.14711844772661453,0.4483058210251955
3,Schubert_D911-23_HU33.npy,0.629029118113302,0.771418826739427,0.6929852781224627,0.7208447715295597,0.15556641347080308,1.3890858509121893,0.9658343903004514,0.9432107903184402,0.6724843613096126,0.9689501754640691,0.7290823767200785,0.629029118113302,0.771418826739427,0.5302046461473546,0.1507162346521146,0.07786493860845839,0.3042291950886767,0.5328103683492497,0.6580359874294296,0.8069918144611187,0.5685553633217993,0.11514324693042292,0.07786493860845839,0.3042291950886767,0.49723738062755796
4,Schubert_D911-21_HU33.npy,0.753774459039625,0.6369079144311143,0.6904307235306599,0.758313206272149,0.14441649604494897,1.3307521239725277,0.963841071574356,0.9466285970590199,0.5955144452548821,0.9731921519940592,0.7507999761293707,0.753774459039625,0.6369079144311143,0.5272197018794557,0.1303336633891358,0.23275842217974993,0.07771662790429917,0.4408087134731849,0.7762304463945059,0.6558822852142676,0.551589914404121,0.11135929260598246,0.23275842217974993,0.07771662790429917,0.42183434269003156
5,Schubert_D911-17_SC06.npy,0.5109519261381725,0.6206829871988243,0.5604973195732271,0.6122258645836886,0.18016269653895642,1.5507387827871857,0.9574007501286321,0.928797587906929,0.586191117421965,0.9556980806711795,0.5241263982157652,0.5109519261381725,0.6206829871988243,0.3893687224028337,0.21754263835711798,0.1617743744440577,0.3765324670302046,0.7558494798313803,0.554632282712512,0.6737440538345516,0.43720825176931183,0.16448157172139072,0.1617743744440577,0.3765324670302046,0.702788413195653
6,Schubert_D911-22_SC06.npy,0.7150723725613594,0.6263781697905182,0.6677931237143697,0.7271018895535027,0.1704492486194364,1.4180859132968866,0.9609296699498877,0.9363826147067139,0.6464914299781485,0.9642210164581755,0.7366237736687838,0.7150723725613594,0.6263781697905182,0.5012683357229514,0.1385749724366042,0.23504685777287762,0.11101157662624035,0.48463340683572215,0.7662051604782882,0.6711686879823594,0.55708075955159,0.09378445424476295,0.23504685777287762,0.11101157662624035,0.43984288864388094
7,Schubert_D911-24_HU33.npy,0.6366388057647989,0.6358951454976466,0.6362667583361981,0.7045847908999204,0.1357784337952021,1.3803576856071578,0.9637184709706621,0.9450374663470841,0.6486721626885195,0.9708121713976637,0.6983575961612122,0.6366388057647989,0.6358951454976466,0.46656247636812787,0.18181193527330194,0.18229291922905144,0.18112481533651698,0.5452296698388703,0.693461287104874,0.6926512522760848,0.5302874878350299,0.12505582849486377,0.18229291922905144,0.18112481533651698,0.4884735630604322
8,Schubert_D911-24_SC06.npy,0.6418396995251932,0.55960950291946,0.5979105807793236,0.6597231631394624,0.19571166274737914,1.4485500563256823,0.9621927374301676,0.9487059960711807,0.5591880834521966,0.941637170501393,0.6398860309841918,0.6418396995251932,0.55960950291946,0.4264425453774984,0.20893447434273532,0.2314560227378047,0.1033396150637956,0.5437301121443356,0.7456948479909291,0.650159102845315,0.5321650735851919,0.11838487441688035,0.2314560227378047,0.1033396150637956,0.45318051221848066
9,Schubert_D911-21_SC06.npy,0.7879516280913912,0.6664640536575142,0.7221339026162791,0.7749545749154443,0.13658456183520357,1.295611805784164,0.9670932309148808,0.9468808234900364,0.6229623488451229,0.9765216211562935,0.7792755839979095,0.7879516280913912,0.6664640536575142,0.5651092114383208,0.10530287151540557,0.22823307482708027,0.07405156151750157,0.40758750785998743,0.8079992070178916,0.6834206665269336,0.5879404233834613,0.08834625864598616,0.22823307482708027,0.07405156151750157,0.390630894990568
