,Filename,precision,recall,f_measure,cosine_sim,binary_crossentropy,euclidean_distance,binary_accuracy,soft_accuracy,accum_energy,roc_auc_measure,average_precision_score,Precision,Recall,Accuracy,Substitution Error,Miss Error,False Alarm Error,Total Error,Chroma Precision,Chroma Recall,Chroma Accuracy,Chroma Substitution Error,Chroma Miss Error,Chroma False Alarm Error,Chroma Total Error
0,Schubert_D911-17_HU33.npy,0.6108824473830166,0.7638148769983211,0.6788419430703105,0.7016118918016766,0.10936536333235124,1.1858708317606668,0.9677100048269475,0.9524556975559656,0.5532066347391579,0.9743087213212005,0.7068113191582264,0.6108824473830166,0.7638148769983211,0.5138234138676095,0.14282064384261625,0.09336447915906271,0.3437112197970655,0.5798963427987445,0.6363079078728435,0.7956055186509964,0.5469051860400933,0.11103000218994087,0.09336447915906271,0.3437112197970655,0.548105701146069
1,Schubert_D911-23_SC06.npy,0.6231920387035319,0.8877026351496108,0.7322935536605841,0.7715526516824452,0.09714988988318851,1.1552683916819997,0.967140656861469,0.9566610446491894,0.6844965180259882,0.9868882017821726,0.8132626296655576,0.6231920387035319,0.8877026351496108,0.5776523072633487,0.09098050417767621,0.02131686067271299,0.4457616225094623,0.5580589873598515,0.6547263931015467,0.9326215810897664,0.6251555768310196,0.04606155823752053,0.02131686067271299,0.4457616225094623,0.5131400414196958
2,Schubert_D911-20_HU33.npy,0.682276177371388,0.8093620830371482,0.740405341939524,0.7855075143550108,0.09614341918252528,1.1125302526805279,0.9713627185291461,0.9570785456914869,0.6461365255934013,0.9841761104516332,0.8031154643318965,0.682276177371388,0.8093620830371482,0.5878123864701046,0.1282679093278572,0.062370007634994604,0.24863754837690547,0.43927546533975725,0.7134582094189711,0.84635231550957,0.631646166542225,0.09127767685543532,0.062370007634994604,0.24863754837690547,0.40228523286733536
3,Schubert_D911-23_HU33.npy,0.5939331840061002,0.8501023192360164,0.6992957944056337,0.7559050557736279,0.11101567033266757,1.2246323019529775,0.9634562142847402,0.9517776824807367,0.6271490921182244,0.9796564436865036,0.757866256262063,0.5939331840061002,0.8501023192360164,0.5376286102543085,0.10671896316507504,0.043178717598908595,0.47448840381991814,0.6243860845839018,0.6180002859457656,0.884549795361528,0.5718727260699874,0.07227148703956343,0.043178717598908595,0.47448840381991814,0.5899386084583902
4,Schubert_D911-21_HU33.npy,0.7783242767241565,0.8344578257765906,0.8054141755384171,0.8249223060565293,0.09754042812236552,1.115222680183392,0.9744731348331642,0.9564637994444123,0.61203437614464,0.9874790706131129,0.8537936604622517,0.7783242767241565,0.8344578257765906,0.6742204361092505,0.06693992216823635,0.09860225205517305,0.17072328275036266,0.3362654569737721,0.7880323890117915,0.8448660971285146,0.6884193935755029,0.05653165081631243,0.09860225205517305,0.17072328275036266,0.3258571856218482
5,Schubert_D911-17_SC06.npy,0.6009666505558241,0.7213133774219747,0.6556633621598817,0.6787318482513984,0.10767784458548323,1.1889453278477804,0.9668433666422943,0.9529687860474326,0.529143841863737,0.9761188774574222,0.6881667886279677,0.6009666505558241,0.7213133774219747,0.487722601396407,0.1708241481997138,0.10786247437831148,0.30811772440731716,0.5868043469853425,0.6294828419526342,0.755540085856828,0.5229681978798587,0.13659743976486058,0.10786247437831148,0.30811772440731716,0.5525776385504892
6,Schubert_D911-22_SC06.npy,0.7442317490355921,0.7045893054024256,0.7238681816572864,0.7685245989408241,0.12590308386065255,1.2724295884180907,0.9662994643165717,0.9475390057807621,0.5612264211139794,0.9757718393326599,0.7962727037992728,0.7442317490355921,0.7045893054024256,0.5672362143570399,0.1199007717750827,0.17550992282249173,0.12224366041896362,0.417654355016538,0.7887764757260354,0.7467613009922822,0.6223153784311474,0.07772877618522601,0.17550992282249173,0.12224366041896362,0.37548235942668134
7,Schubert_D911-24_HU33.npy,0.6108458993205527,0.8308654275603806,0.7040670761885354,0.7636186224800579,0.1009608336912348,1.2127488765418095,0.9651449066644722,0.9545192147753524,0.6616408015445009,0.9846480749664919,0.7606957979973374,0.6108458993205527,0.8308654275603806,0.5432897515388417,0.10798089806575738,0.06115367437386196,0.42134194523654106,0.5904765176761604,0.6460559218004092,0.8787576871542928,0.5931818181818181,0.060088638471845264,0.06115367437386196,0.42134194523654106,0.5425842580822483
8,Schubert_D911-24_SC06.npy,0.6277124378854846,0.7766072476752448,0.6942664604507292,0.7525656601596062,0.10180213622781067,1.2286611910834035,0.9656424581005587,0.9558683152322683,0.6359005457025128,0.9830922859027209,0.7690397071483626,0.6277124378854846,0.7766072476752448,0.5317060789373493,0.15137940622200252,0.07201334610275263,0.309215607525719,0.5326083598504742,0.6841710989587235,0.8464580308319689,0.608636737232601,0.08152862306527851,0.07201334610275263,0.309215607525719,0.46275757669375017
9,Schubert_D911-21_SC06.npy,0.7686746987951807,0.8357786627541396,0.8008234171813025,0.8277154230757748,0.09841055631472534,1.1214471609660723,0.9733262866856012,0.9574269137256329,0.6474721224119729,0.987212465465214,0.8459089619998768,0.7686746987951807,0.8357786627541396,0.6678110869201139,0.07260532383148187,0.09161601341437854,0.178914273737162,0.3431356109830224,0.7840963855421687,0.8525466359253825,0.6904600237650653,0.05583735066023894,0.09161601341437854,0.178914273737162,0.3263676378117795
